
--------------------------------------------------------------------------------------------------------------------------------------------------------

--------------------------------------------------------------------------------------------------------------------------------------------------------
TYPE | YEAR || KEY                | OWNER     | DESIGNATION               || FORE             | CHAMBER      | ACTION | NOTE
HMG  | 1914 || bmg_1895_303       | Colt      | BMG M1985/14 (303)        ||                  | 303_british  |        | --
HMG  | 1914 || bmg_1895_762       | Colt      | BMG M1895/14 (762)        ||                  | 762_54mm_r   |        | --
HMG  | 1917 || bmg_1917           | US        | BMG M1917                 ||                  | 30_06        |        | belt-fed
MMG  | 1919 || bmg_1919           | US        | BMG M1919                 ||                  | 30_06        |        | belt-fed
MMG  |      || usn_mk_21_mod_0    | USN       | MK 21 MOD 0               ||                  | 762_nato     |        | --
HMG  | 1921 || bmg_1921           | US        | BMG M1921                 ||                  | 50_bmg       |        | --
HMG  | 1930 || bmg_1921a1         | US        | BMG M1921A1               ||                  | 50_bmg       |        | --
HMG  | 1933 || bmg_m2             | US        | BMG M2                    ||                  | 50_bmg       |        | --
-----|------||--------------------|-----------|---------------------------||------------------|--------------|--------|---------------------------------
     | 1909 || hotchkiss-1909     | Hotchkiss | M1909 Benét–Mercié        ||                  |              |        |
HMG  | 1914 || hotchkiss-1914     | Hotchkiss | M1914                     ||                  | 8mm_lebel    |        |
HMG  | 1914 || hmg_type_3         | Japan     | Type 3                    ||                  | 65_arisaka   |        |
HMG  | 1920 || hmg_type_3_1920    | Chile     | M1920                     ||                  | 7mm_mauser   |        |
HMG  | 1932 || hmg_type_92        | Japan     | Type 92                   ||                  | 77_arisaka   |        |
HMG  | 1942 || hmg_type_1         | Japan     | Type 1                    ||                  | 77_arisaka   |        |
--------------------------------------------------------------------------------------------------------------------------------------------------------
Light Machine Gun (LMG), Aircraft Machine Gun (AMG)
--------------------------------------------------------------------------------------------------------------------------------------------------------
TYPE | YEAR || KEY                | OWNER     | DESIGNATION               || FORE             | CHAMBER      | ACTION | NOTE
-----|------||--------------------|-----------|---------------------------||------------------|--------------|--------|---------------------------------
LMG  | 1915 || lewis              | UK        | Lewis Mark I              ||                  | 303_british  |        |
AMG  | 1916 || lewis_2            | UK        | Lewis Mark II             ||                  | 303_british  |        |
AMG  | 1917 || lewis_1917         | US        | Lewis M1917               ||                  | 30_06        |        |
AMG  | 1917 || lewis_6            | USN       | Lewis Mark VI             ||                  | 30_06        |        |
AMG  |      || lewis_6_1          | USN       | Lewis Mark VI MOD 1       ||                  | 30_06        |        |
AMG  | 1918 || lewis_2_1          | UK        | Lewis Mark II*            ||                  | 303_british  |        |
AMG  | 1918 || lewis_3            | UK        | Lewis Mark III            ||                  | 303_british  |        |
AMG  | 1918 || lewis_1919         | US        | Lewis M1918               ||                  | 30_06        |        |
LMG  | 1940 || lewis_3_1          | UK        | Lewis Mark III*           ||                  | 30_06        |        |
LMG  | 1940 || lewis_3_2          | UK        | Lewis Mark III**          ||                  | 303_british  |        |
LMG  | 1940 || lewis_3_dems       | UK        | Lewis Mark III DEMS       ||                  | 303_british  |        |
LMG  | 1940 || lewis_4            | UK        | Lewis Mark IV             ||                  | 303_british  |        |
LMG  | 1940 || mg_137_e           | Germany   | MG 137(e)                 ||                  | 303_british  |        |
LMG  | 1940 || mg_100_h           | Germany   | MG 100(h)                 ||                  | 65x535mmR    |        |
-----|------||--------------------|-----------|---------------------------||------------------|--------------|--------|---------------------------------
LMG  | 1916 || gast               |           | Gast                      |                   | 792_mauser   |        | twin-barrels
-----|------||--------------------|-----------|---------------------------||------------------|--------------|--------|---------------------------------
LMG  | 1933 || vickers_berthier   | India     | Vickers-berthier          ||                  | 303_british  |        |
-----|------||--------------------|-----------|---------------------------||------------------|--------------|--------|---------------------------------
LMG  | 1938 || bren               | UK        | Bren                      ||                  | 303_british  |        |
--------------------------------------------------------------------------------------------------------------------------------------------------------
Machine Rifle (MR)
--------------------------------------------------------------------------------------------------------------------------------------------------------
TYPE | YEAR || KEY                | OWNER     | DESIGNATION               || FORE             | CHAMBER      | ACTION | NOTE
-----|------||--------------------|-----------|---------------------------||------------------|--------------|--------|---------------------------------
MR   | 1915 || fm_chauchat        | France    | FM Chauchat               ||                  | 8mm_lebel    |        |
--------------------------------------------------------------------------------------------------------------------------------------------------------
Machine Rifle (MR) - BAR
--------------------------------------------------------------------------------------------------------------------------------------------------------
TYPE | YEAR || KEY                | OWNER     | DESIGNATION               || FORE             | CHAMBER      | ACTION | NOTE
-----|------||--------------------|-----------|---------------------------||------------------|--------------|--------|---------------------------------
MR   | 1918 || bar                | US        | BAR M1918                 ||                  | 30_06        |        |
     |      || --                 |           | KG M/21                   ||                  |              |        |
MR   | 1935 || mg_35_36           | Germany   | MG-35/36                  ||                  | 792_mauser   |        |
MR   | 1941 || kg_40              | Holland   | KG M/40                   ||                  | 6.5mm Swede  |        |
-----|------||--------------------|-----------|---------------------------||------------------|--------------|--------|---------------------------------
MR   | 1943 || fg_42              | Germany   | FG 42                     ||                  | 792_mauser   | select |
--------------------------------------------------------------------------------------------------------------------------------------------------------
Assault Rifle (AR), Personal Defense Weapon (PDW), Carbine Assault Rifle (CAR)
--------------------------------------------------------------------------------------------------------------------------------------------------------
Assault Rifle (AR) - Kalashnikov
--------------------------------------------------------------------------------------------------------------------------------------------------------
TYPE | YEAR || KEY                | OWNER     | DESIGNATION               || FORE             | CHAMBER      | ACTION | NOTE
-----|------||--------------------|-----------|---------------------------||------------------|--------------|--------|---------------------------------
AR   | 1949 || ak_47              | Russia    | AK-47                     ||                  | 762_russian  |        |
AR   | 1956 || type_56            | China     | Type 56                   ||                  | 762_russian  |        | fixed-stock folding-spike-bayonet
AR   | 1958 || type_58            | China     | Type 58                   ||                  | 762_russian  |        |
AR   | 1959 || akm                | Russia    | AKM                       ||                  | 762_russian  |        |
LMG  | 1961 || rpk                | Russia    | RPK                       ||                  | 762_russian  |        |
LMG  |      || rpks               | Russia    | RPKS                      ||                  | 762_russian  |        | folding-stock
AR   | 1962 || rk_62              | Finland   | RK 62                     ||                  | 762_russian  |        |
AR   | 1972 || imi_galil          | Israel    | IMI Galil                 ||                  | 556_nato     |        |
AR   | 1974 || ak_74              | Russia    | AK-74                     ||                  | 545_russian  |        |
LMG  | 1974 || rpk_74             | Russia    | RPK-74                    ||                  | 545_russian  |        |
LMG  |      || rpks_74            | Russia    | RPKS-74                   ||                  | 545_russian  |        | folding-stock
PDW  | 1979 || aks_74u            | Russia    | AKS-74U                   ||                  | 545_russian  |        | folding-stock
PDW  |      || aks_74ub           | Russia    | AKS-74UB                  ||                  | 545_russian  |        | folding-stock suppressed
AR   | 1980 || type_56_2          | China     | Type 56-2 Rifle           ||                  | 762_russian  |        | folding-stock bakelite-furniture
AR   | 1991 || ak_74m             | Russia    | AK-74M                    ||                  | 545_russian  |        |
AR   | 1994 || ots_14_groza       | Russia    | OTs-14 Groza              ||                  | 9×39mm       | select | bullpup
AR   | 1994 || ak_101             | Russia    | AK-101                    ||                  | 556_nato     |        |
CAR  | 1994 || ak_102             | Russia    | AK-102                    ||                  | 556_nato     |        |
AR   | 1994 || ak_103             | Russia    | AK-103                    ||                  | 762_russian  |        |
CAR  | 1994 || ak_104             | Russia    | AK-104                    ||                  | 762_russian  |        |
CAR  | 1994 || ak_105             | Russia    | AK-105                    ||                  | 545_russian  |        |
AR   | 1995 || rk_95_tp           | Finland   | RK 95 TP                  ||                  | 762_russian  |        |
AR   | 1994 || ots_14_1a_groza    | Russia    | OTs-14-1A Groza           ||                  | 762_russian  | select | bullpup
AR   | 2007 || ak_9               | Russia    | AK-9                      ||                  | 9×39mm       |        | suppressed
AR   | 2012 || ak_12              | Russia    | AK-12                     ||                  | 545_russian  |        |
AR   | 2015 || ak_15              | Russia    | AK-15                     ||                  | 762_russian  |        |
LMG  | 2016 || rpk_16             | Russia    | RPK-16                    ||                  | 545_russian  |        |
AR   | 2017 || ak_200             | Russia    | AK-200                    ||                  | 545_russian  |        |
AR   | 2017 || ak_201             | Russia    | AK-201                    ||                  | 556_nato     |        |
AR   | 2017 || ak_202             | Russia    | AK-202                    ||                  | 556_nato     |        |
AR   | 2017 || ak_203             | Russia    | AK-203                    ||                  | 762_russian  |        |
CAR  | 2017 || ak_204             | Russia    | AK-204                    ||                  | 762_russian  |        |
CAR  | 2017 || ak_205             | Russia    | AK-205                    ||                  | 545_russian  |        |
AR   | 2018 || ak_308             | Russia    | AK-308                    ||                  | 762_nato     |        |
AR   | 2019 || ak_19              | Russia    | AK-19                     ||                  | 556_nato     |        |
--------------------------------------------------------------------------------------------------------------------------------------------------------
Assault Rifle (AR) -
--------------------------------------------------------------------------------------------------------------------------------------------------------
BR   | 1953 || fn_fal             | FN        | FAL                       ||                  | 762_nato     | select |
BR   | 1958 || stg_58             | Austria   | StG 58                    ||                  | 762_nato     | select |
--------------------------------------------------------------------------------------------------------------------------------------------------------
Assault Rifle (AR) - Bullpup - UK
--------------------------------------------------------------------------------------------------------------------------------------------------------
TYPE | YEAR || KEY                | OWNER     | DESIGNATION               || FORE             | CHAMBER      | ACTION | NOTE
-----|------||--------------------|-----------|---------------------------||------------------|--------------|--------|---------------------------------
AR   | 1951 || em_2               | UK        | EM-2                      ||                  | 280_british  | select | bullpup
BR   | 1954 || uk_l1a1            | UK        | L1A1                      ||                  | 762_nato     | semi   |
AR   | 1985 || uk_l85a1           | UK        | L85A1                     ||                  | 556_nato     | select | bullpup
SAW  | 1986 || uk_l86a1           | UK        | L86A1                     ||                  | 556_nato     | select | bullpup
CAR  | 1987 || uk_l98a1           | UK        | L98A1                     ||                  | 556_nato     | select | bullpup
AR   | 2000 || l85a2              | UK        | L85A2                     ||                  | 556_nato     | select | bullpup
CAR  | 2003 || uk_l22             | UK        | L22 Carbine               ||                  | 556_nato     | select | bullpup
C    | 2009 || uk_l98a2           | UK        | L98A2                     ||                  | 556_nato     | semi   | bullpup
AR   | 2018 || uk_l85a3           | UK        | L85A3                     ||                  | 556_nato     | select | bullpup
     | 2022 || uk_l402a1          | UK        | L402A1                    ||                  | 22_lr        |        | bullpup
--------------------------------------------------------------------------------------------------------------------------------------------------------
Assault Rifle (AR) - Bullpup - AUG
--------------------------------------------------------------------------------------------------------------------------------------------------------
AR   | 1977 || steyr_aug          | Steyr     | AUG A1                    ||                  | 556_nato     | select | bullpup integral-optic
AR   | 1977 || stg_77             | Austria   | StG 77                    ||                  | 556_nato     | select | bullpup
SMG  | 1988 || steyr_aug_9mm      | Steyr     | AUG 9mm "Para"            ||                  | 9mm          | select | bullpup
AR   | 1997 || steyr_aug_2        | Steyr     | AUG A2                    ||                  | 556_nato     | select | bullpup detachable-optic
AR   | 2004 || steyr_aug_3        | Steyr     | AUG A3                    ||                  | 556_nato     | select | bullpup
AR   | 2019 || steyr_aug_3_aac    | Steyr     | AUG A3 (300 AAC Blackout) ||                  | 300_blackout | select | bullpup
AR   | 2007 || steyr_aug_3_sf     | Steyr     | AUG A3 SF                 ||                  | 300_blackout | select | bullpup integral-optic
SAW  |      || steyr_aug_hbar     | Steyr     | AUG HBAR                  ||                  | 300_blackout | select | bullpup integral-optic
SAW  |      || steyr_aug_hbar_t   | Steyr     | AUG HBAR-T                ||                  | 300_blackout | select | bullpup integral-optic
SMG  |      || steyr_aug_3_9mm_xs | Steyr     | AUG A3 XS                 ||                  | 9mm          | select | bullpup
SMG  |      || steyr_aug_3_40     | Steyr     | AUG A3 40 (40 S&W)        ||                  | 40_sw        | select | bullpup
     |      ||
--------------------------------------------------------------------------------------------------------------------------------------------------------
Assault Rifle (AR) -
--------------------------------------------------------------------------------------------------------------------------------------------------------
TYPE | YEAR || KEY                | OWNER     | DESIGNATION               || FORE             | CHAMBER      | ACTION | NOTE
-----|------||--------------------|-----------|---------------------------||------------------|--------------|--------|---------------------------------
SR   | 1983 || vss_vintorez       | Russia    | VSS Vintorez              ||                  | 9×39mm       | select | integral-silencer
AR   | 1985 || as_val             | Russia    | AS Val                    ||                  | 9×39mm       | select | integral-silencer
--------------------------------------------------------------------------------------------------------------------------------------------------------
Universal Machine Gun (UMG), Squad Automatic Weapon (SAW)
--------------------------------------------------------------------------------------------------------------------------------------------------------
TYPE | YEAR || KEY                | OWNER     | DESIGNATION               || FORE             | CHAMBER      | ACTION | NOTE
-----|------||--------------------|-----------|---------------------------||------------------|--------------|--------|---------------------------------
LMG  | 1925 || fm_24_29           | France    | FM MAC 1924 M29           ||                  | 75 French    |        |
LMG  | 1925 || lmg_25             | Swiss     | LMG 25                    ||                  | 75 Swiss     |        |
UMG  | 1951 || mg_51              | Swiss     | MG 51                     ||                  | 75 Swiss     |        |
-----|------||--------------------|-----------|---------------------------||------------------|--------------|--------|---------------------------------
LMG  | 1928 || dp_27              | Russia    | DP-27                     ||                  | 762_54mm_r   |        |
LMG  | 1943 || dpm                | Russia    | DPM                       ||                  | 762_54mm_r   |        |
LMG  | 1946 || rp_46              | Russia    | RP-46                     ||                  | 762_54mm_r   |        | belt-fed
LMG  |      || type_53            | China     | Type 53                   ||                  |              |        |
UMG  | 1961 || pk                 | Russia    | PK                        ||                  | 762_54mm_r   |        | belt-fed
UMG  | 1969 || pkm                | Russia    | PKM                       ||                  | 762_54mm_r   |        |
UMG  | 2001 || pkp                | Russia    | PKP Pecheneg              ||                  | 762_54mm_r   |        |
-----|------||--------------------|-----------|---------------------------||------------------|--------------|--------|---------------------------------
LMG  | 1930 || mg_13              | Germany   | MG 13                     ||                  |              | select | double-crescent-trigger
LMG  | 1930 || mg_30              | Germany   | MG 30                     ||                  | 792_mauser   | select | progressive-trigger
LMG  | 1930 || 2s_200             | Sweden    | Solothurn 2S-200          ||                  |              |        |
LMG  | 1931 || 31_m               | Hungary   | Solothurn 31-M            ||                  |              |        |
UMG  | 1936 || mg_34              | Germany   | MG 34                     ||                  | 792_mauser   | select | double-crescent-trigger
UMG  | 1942 || mg_42              | Germany   | MG 42                     ||                  | 792_mauser   | select |
UMG  | 1951 || mg_51              | Swiss     | MG 51                     ||                  | 75 Swiss     | select |
UMG  | 1959 || mg_3               | Germany   | MG 3                      ||                  | 762_nato     | select |
-----|------||--------------------|-----------|---------------------------||------------------|--------------|--------|---------------------------------
UMG  | 1957 || m60                | US        | M60                       ||                  | 762_nato     |        | belt-fed
LMG  | 1986 || m60e3              | USMC      | M60E3                     ||                  | 762_nato     |        | belt-fed
-----|------||--------------------|-----------|---------------------------||------------------|--------------|--------|---------------------------------
UMG  | 1958 || fn_mag             | FN        | MAG                       ||                  | 762_nato     |        |
UMG  | 1958 || ksp_58             | Sweden    | KSP 58                    ||                  | 65 Swedish   |        |
UMG  | 1959 || l7a1               | UK        | L7A1                      ||                  | 762_nato     |        |
UMG  | 1977 || m240               | US        | M240                      ||                  | 762_nato     |        |
-----|------||--------------------|-----------|---------------------------||------------------|--------------|--------|---------------------------------
SAW  | 1980 || fn_minimi          | FN        | Minimi                    ||                  | 556_nato     |        |
SAW  | 1984 || m249_saw           | US        | M249 SAW                  ||                  | 556_nato     |        |
-----|------||--------------------|-----------|---------------------------||------------------|--------------|--------|---------------------------------
     | 2010 || m27_iar            | USMC      | M27 IAR                   ||                  |              |        |
--------------------------------------------------------------------------------------------------------------------------------------------------------
Anti-Materiel Rifle (AMR)
--------------------------------------------------------------------------------------------------------------------------------------------------------
TYPE | YEAR || KEY                | OWNER     | DESIGNATION               || FORE             | CHAMBER      | ACTION | NOTE
-----|------||--------------------|-----------|---------------------------||------------------|--------------|--------|---------------------------------
AMR  | 1918 || mauser_1918_amr    | Germany   | Mauser M1918 AMR          || AMR              | 13.2mm TuF   | bolt   | --
