
--------------------------------------------------------------------------------------------------------------------------------------------------------

--------------------------------------------------------------------------------------------------------------------------------------------------------
TYPE | YEAR || KEY                | OWNER     | DESIGNATION               || FORE             | CHAMBER      | ACTION | NOTE
P    | 1909 || roth_steyr_1907    | Austria   | Roth–Steyr M1907          ||                  | 8mm_roth     | semi   | --
P    | 1912 || steyr_1912         | Austria   | Steyr M1912               ||                  | 9mm_steyr    | semi   | --
MP   | 1916 || steyr_1912_p16     | Austria   | Steyr M1912/P16           ||                  | 9mm_steyr    | select | --
P    | 1938 || p12_oe             | Germany   | P12 (ö)                   ||                  | 9mm          | semi   | --
-----|------||--------------------|-----------|---------------------------||------------------|--------------|--------|---------------------------------
P    | 1911 || colt_1911          | Colt      | M1911                     ||                  | 45_acp       | semi   | --
P    | 1942 || colt_1911a1        | Colt      | M1911A1                   ||                  | 45_acp       | semi   | --
-----|------||--------------------|-----------|---------------------------||------------------|--------------|--------|---------------------------------
P    | 1904 || nambu_type_a       | Japan     | Nambu Type A              ||                  | 8mm_nambu    |        | --
P    | 1904 || nambu_type_b       | Japan     | Nambu Type B              ||                  | 7mm_nambu    |        | --
P    | 1926 || nambu_type_14      | Japan     | Nambu Type 14             ||                  | 8mm_nambu    |        | --
P    | 1935 || nambu_type_94      | Japan     | Nambu Type 94             ||                  | 8mm_nambu    |        | --
-----|------||--------------------|-----------|---------------------------||------------------|--------------|--------|---------------------------------
P    |      || hk_mk_23           | H&K       | MK 23                     ||                  |              | semi   | --
P    |      || us_mk_23_mod_0     | USSOCOM   | MK 23 MOD 0               ||                  |              | semi   | --
-----|------||--------------------|-----------|---------------------------||------------------|--------------|--------|---------------------------------
P    |      || ss_p226            | Sig Sauer | P226                      ||                  |              |        | --
P    |      || us_mk_25           | USSOCOM   | MK 25                     ||                  |              |        | --
-----|------||--------------------|-----------|---------------------------||------------------|--------------|--------|---------------------------------
P    |      || sw_m_29            | S&W       | Model 29                  ||                  |              |        | --
P    |      || us_mk_22_mod_0     | USSOCOM   | MK 22 MOD 0               ||                  |              |        | --
-----|------||--------------------|-----------|---------------------------||------------------|--------------|--------|---------------------------------
P    | 1903 || fn_1903            | FN        | M1903 / Browning No.2     ||                  | 9mm_bl       | semi   | --
P    | 1903 || colt_1903_phl      | Colt      | M1903 Pocket Hammerless   ||                  | 32_acp       | semi   | --
P    | 1903 || colt_1903_ph       | Colt      | M1903 Pocket Hammer       ||                  | 38 Auto      | semi   | --
-----|------||--------------------|-----------|---------------------------||------------------|--------------|--------|---------------------------------
P    | 1929 || walther_pp         | Walther   | PP (32 ACP)               ||                  | 32_acp       | semi   | --
P    | 1929 || walther_pp_380     | Walther   | PP (380 ACP)              ||                  | 380_acp      | semi   | --
P    | 1931 || walther_ppk        | Walther   | PPK (32 ACP)              ||                  | 32_acp       | semi   | --
P    | 1931 || walther_ppk_380    | Walther   | PPK (380 ACP)             ||                  | 380_acp      | semi   | --
P    | 1931 || walther_ppks_22    | Walther   | PPK/S (22 LR)             ||                  | 22_lr        | semi   | --
P    | 1931 || walther_ppks       | Walther   | PPK/S (32 ACP)            ||                  | 32_acp       | semi   | --
P    | 1931 || walther_ppks_380   | Walther   | PPK/S (380 ACP)           ||                  | 380_acp      | semi   | --
P    | 1931 || walther_ppkl_22    | Walther   | PPK-L (22 LR)             ||                  | 22_lr        | semi   | --
P    | 1931 || walther_ppkl       | Walther   | PPK-L (32 ACP)            ||                  | 32_acp       | semi   | --
P    | 1961 || walther_tp_22      | Walther   | TP (22 LR)                ||                  | 22_lr        | semi   | --
